AGN	EOG	1.291327640528932
AGN	CPB	1.316697967895968
AGN	EVHC	1.343954111794997
AGN	IDXX	1.307348338068766
AGN	QRVO	1.257466839827234
AGN	JWN	1.317783944368752
AGN	JBHT	1.219674174178283
AGN	TAP	1.302199544843296
AGN	VRTX	2.000000000000000
AGN	BWA	1.231404324286838
AGN	UAL	1.217381843362011
AGN	UAA	1.291629571954477
AGN	WM	1.255404140627847
AGN	SPG	1.282504855357587
AGN	FIS	2.000000000000000
AGN	GT	1.198345714521409
AGN	GIS	1.272181910309906
AGN	PYPL	1.254391478046520
AGN	MJN	1.253802015765252
AGN	WRK	1.244892148510799
AGN	ROP	1.189772286408579
AGN	GE	1.187990377092929
AGN	GD	2.000000000000000
AGN	VAR	2.000000000000000
AGN	GM	1.239389305138265
AGN	NTAP	1.287915348932557
AGN	MAS	2.000000000000000
AGN	MAR	1.186608076899087
AGN	MAT	1.304810047719177
AGN	SNA	1.184163999231269
AGN	FOXA	1.224654616354198
AGN	SNI	1.287484645578775
AGN	MAA	1.297198106184771
AGN	MAC	1.266069733766164
AGN	JNJ	2.000000000000000
AGN	XYL	1.207837510140751
AGN	TSN	1.333100552058313
AGN	SYMC	1.269538327205361
AGN	BEN	2.000000000000000
AGN	CMI	1.279704704581332
AGN	DISCA	1.333716517310271
AGN	CMG	1.321159267054223
AGN	ALB	1.234983159589327
AGN	CME	1.188604915079685
AGN	CMA	2.000000000000000
AGN	CMS	1.329933590360032
AGN	PCG	1.301202320136648
AGN	VLO	1.208419393812360
AGN	HUM	2.000000000000000
AGN	PCLN	1.201754603380081
AGN	TGNA	1.189359372650885
AGN	HCP	1.334854383713915
AGN	FTV	1.358258546986897
AGN	SNPS	1.224171998444279
AGN	K	1.323964331856232
AGN	FFIV	1.270469222113839
AGN	BLL	1.247292694458712
AGN	HCA	2.000000000000000
AGN	BLK	2.000000000000000
AGN	FTI	1.298932688920187
AGN	HCN	1.337742356887962
AGN	SIG	1.263685637770864
AGN	NFX	1.294328808289595
AGN	MA	2.000000000000000
AGN	CBG	2.000000000000000
AGN	PRGO	2.000000000000000
AGN	MO	1.314436749555379
AGN	NOC	1.198083389324754
AGN	MU	1.214741652682929
AGN	CBS	1.209113680434647
AGN	NDAQ	1.188349565736081
AGN	UHS	2.000000000000000
AGN	MS	2.000000000000000
AGN	TJX	1.218997249552676
AGN	NOV	1.316195099694648
AGN	AMGN	2.000000000000000
AGN	FB	2.000000000000000
AGN	COST	1.262973998672269
AGN	FE	1.325590055859735
AGN	CTL	1.306558814860262
AGN	ADBE	2.000000000000000
AGN	FL	1.272850511303449
AGN	DOW	2.000000000000000
AGN	MSFT	1.212455245025273
AGN	GLW	1.203869227159402
AGN	SCHW	2.000000000000000
AGN	BSX	2.000000000000000
AGN	GGP	1.262877664921763
AGN	FCX	1.299273171740919
AGN	UPS	1.249133421143693
AGN	WHR	1.225535681570591
AGN	BBBY	1.239791119748837
AGN	MDT	2.000000000000000
AGN	F	1.222840612532033
AGN	DFS	1.215321185725817
AGN	JEC	1.261338911946148
AGN	ILMN	1.190244321524647
AGN	V	1.355377282000485
AGN	FMC	1.215453346489753
AGN	AVY	2.000000000000000
AGN	TSCO	1.250206727717902
AGN	ALL	1.260273982135064
AGN	ALK	1.284529486231720
AGN	LMT	1.201834005829033
AGN	MMM	1.217089561769710
AGN	SO	1.364378373940332
AGN	JNPR	1.252812214811536
AGN	MMC	2.000000000000000
AGN	WEC	1.343290750221813
AGN	SWKS	1.184258731735588
AGN	DPS	1.334921839024868
AGN	IBM	1.262033093058569
AGN	BAX	1.297682413076587
AGN	CAT	1.246046355121998
AGN	CAH	2.000000000000000
AGN	BAC	2.000000000000000
AGN	GS	2.000000000000000
AGN	CAG	1.347739616146542
AGN	LB	1.275387084084001
AGN	INCY	2.000000000000000
AGN	LH	2.000000000000000
AGN	PGR	1.195225052434383
AGN	HIG	1.195154458438860
AGN	CELG	1.208125843109619
AGN	WLTW	1.220871445220293
AGN	A	1.188181621247393
AGN	ABC	2.000000000000000
AGN	ZION	2.000000000000000
AGN	STI	2.000000000000000
AGN	ANTM	2.000000000000000
AGN	ABT	2.000000000000000
AGN	XOM	1.250532513950085
AGN	STX	1.262210985433083
AGN	STZ	1.258245308320688
AGN	BHI	1.276018662940778
AGN	CERN	2.000000000000000
AGN	CFG	2.000000000000000
AGN	PNR	1.249735662184454
AGN	PNW	1.319753333278116
AGN	IVZ	2.000000000000000
AGN	PNC	2.000000000000000
AGN	BXP	1.220200821860335
AGN	GOOGL	2.000000000000000
AGN	CBOE	1.290336894984802
AGN	VFC	1.216035175467891
AGN	AMZN	1.232026580085496
AGN	AON	2.000000000000000
AGN	RAI	1.349473640341942
AGN	PRU	1.187770368192403
AGN	RF	2.000000000000000
AGN	RL	1.264317748264502
AGN	AYI	1.226899556790352
AGN	CHK	1.323907554995841
AGN	L	1.233136417183678
AGN	HRS	1.190097221023200
AGN	HRL	1.389851687225383
AGN	MRO	1.318588965798832
AGN	MRK	2.000000000000000
AGN	HRB	1.254928088609967
AGN	IPG	1.201212215313950
AGN	NLSN	1.228589886610057
AGN	RHT	2.000000000000000
AGN	RHI	1.217013685030695
AGN	APH	1.295809589929376
AGN	ROST	1.318620595186629
AGN	APC	1.284391024963640
AGN	APA	1.302159080288148
AGN	APD	1.225136754458122
AGN	KSU	1.293288901936838
AGN	SRE	1.282970446515120
AGN	KSS	1.314289654487136
AGN	WFM	1.308394860777236
AGN	WFC	2.000000000000000
AGN	IFF	1.212758134957730
AGN	CHTR	1.190551763663076
